----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
12  6  car  617, 147, 670, 177
12  7  car  485, 118, 521, 142
12  8  car  281, 123, 323, 150
12  9  car  419, 173, 463, 211
12  10  car  880, 170, 935, 206
12  11  car  225, 123, 256, 148
12  12  car  580, 111, 620, 136
12  13  car  434, 145, 476, 177
12  14  car  545, 118, 580, 143
12  15  car  533, 100, 561, 122
12  16  car  391, 71, 412, 88
12  17  car  402, 86, 423, 103
12  19  bus  26, 309, 299, 539
12  20  truck  397, 215, 479, 345
12  21  car  900, 131, 937, 157
12  23  car  922, 269, 949, 332
13  1  person  839, 141, 854, 169
13  3  person  114, 176, 126, 213
13  4  car  -6, 241, 83, 297
13  5  car  687, 227, 772, 279
13  6  car  616, 146, 668, 176
13  7  car  485, 118, 520, 141
13  8  car  279, 124, 321, 151
13  9  car  419, 174, 463, 211
13  10  car  879, 168, 934, 205
13  11  car  225, 123, 256, 148
13  12  car  579, 111, 618, 136
13  13  car  433, 145, 477, 178
13  14  car  544, 117, 579, 142
13  16  car  391, 71, 412, 88
13  17  car  403, 86, 423, 103
13  19  bus  24, 312, 298, 539
13  20  truck  395, 215, 478, 347
13  21  car  899, 130, 937, 157
13  23  car  919, 265, 948, 328
14  1  person  838, 141, 852, 168
14  3  person  114, 176, 126, 213
14  4  car  -9, 243, 81, 300
14  5  car  684, 224, 768, 276
14  6  car  614, 145, 666, 175
14  7  car  484, 117, 519, 140
14  8  car  277, 124, 320, 152
14  9  car  419, 174, 464, 213
14  10  car  878, 167, 934, 204
14  11  car  225, 123, 256, 148
14  12  car  578, 110, 618, 135
14  13  car  434, 145, 478, 178
14  14  car  543, 117, 577, 141
14  15  car  534, 99, 560, 120
14  16  car  390, 72, 411, 88
14  17  car  402, 86, 423, 104
14  19  bus  23, 314, 298, 539
14  20  truck  395, 216, 478, 349
14  21  car  900, 130, 937, 157
14  23  car  915, 261, 947, 325
15  1  person  838, 141, 851, 166
15  3  person  114, 176, 127, 213
15  4  car  -11, 245, 78, 303
15  5  car  681, 222, 763, 273
15  6  car  613, 144, 664, 174
15  7  car  484, 116, 519, 139
15  8  car  276, 125, 319, 153
15  9  car  419, 175, 465, 214
15  10  car  877, 167, 932, 203
15  11  car  225, 123, 256, 149
15  12  car  577, 109, 617, 134
15  13  car  435, 146, 479, 179
15  14  car  542, 117, 576, 141
15  15  car  535, 102, 558, 120
15  16  car  389, 72, 411, 89
15  17  car  402, 86, 423, 104
15  19  bus  22, 317, 298, 539
15  20  truck  394, 218, 477, 351
15  21  car  900, 130, 937, 157
15  23  car  912, 258, 946, 321
15  29  car  948, 225, 957, 252
16  1  person  837, 140, 850, 165
16  3  person  114, 174, 127, 213
16  4  car  -12, 248, 74, 306
16  5  car  678, 220, 759, 270
16  6  car  611, 143, 662, 173
16  7  car  483, 114, 519, 139
16  8  car  275, 126, 318, 154
16  9  car  419, 176, 466, 215
16  10  car  877, 167, 930, 202
16  11  car  225, 123, 255, 149
16  12  car  576, 109, 616, 134
16  13  car  437, 147, 480, 180
16  14  car  541, 115, 574, 139
16  16  car  388, 72, 410, 89
16  17  car  401, 87, 423, 104
16  19  bus  20, 319, 297, 539
16  20  truck  395, 220, 478, 353
16  21  car  899, 129, 937, 156
16  23  car  909, 255, 945, 317
16  29  car  947, 223, 956, 251
17  1  person  835, 139, 849, 166
17  3  person  114, 174, 127, 213
17  4  car  -14, 250, 71, 308
17  5  car  676, 218, 755, 267
17  6  car  610, 142, 660, 172
17  7  car  483, 114, 518, 138
17  8  car  274, 127, 316, 155
17  9  car  420, 176, 467, 216
17  10  car  876, 167, 929, 201
17  11  car  224, 123, 255, 149
17  12  car  575, 108, 615, 133
17  13  car  439, 148, 481, 181
17  14  car  540, 115, 573, 137
17  16  car  387, 72, 410, 90
17  17  car  401, 87, 422, 105
17  19  bus  20, 322, 296, 539
17  20  truck  394, 221, 478, 355
17  21  car  900, 130, 937, 156
17  23  car  906, 253, 944, 314
17  29  car  946, 220, 956, 250
18  1  person  834, 139, 848, 166
18  3  person  114, 174, 128, 212
18  4  car  -15, 252, 68, 311
18  5  car  672, 215, 751, 264
18  6  car  609, 141, 658, 170
18  7  car  482, 113, 518, 137
18  8  car  272, 127, 314, 155
18  9  car  420, 177, 467, 217
18  10  car  875, 166, 928, 200
18  11  car  224, 123, 255, 149
18  12  car  574, 107, 614, 132
18  13  car  440, 149, 482, 182
18  14  car  539, 114, 571, 137
18  16  car  387, 72, 409, 90
18  17  car  400, 87, 422, 105
18  19  bus  19, 325, 296, 539
18  20  truck  394, 222, 478, 357
18  21  car  900, 130, 937, 156
18  23  car  903, 251, 944, 311
18  29  car  945, 219, 955, 250
19  1  person  832, 138, 848, 166
19  2  person  4, 165, 14, 198
19  3  person  114, 174, 128, 212
19  4  car  -16, 254, 63, 313
19  5  car  670, 213, 747, 261
19  6  car  607, 140, 656, 168
19  7  car  482, 113, 517, 136
19  8  car  270, 128, 312, 156
19  9  car  421, 177, 468, 218
19  10  car  874, 166, 927, 200
19  11  car  224, 123, 255, 149
19  12  car  574, 107, 613, 131
19  13  car  441, 149, 483, 182
19  14  car  538, 113, 570, 136
19  16  car  386, 72, 409, 90
19  17  car  400, 87, 421, 105
19  19  bus  19, 328, 295, 539
19  20  truck  392, 223, 477, 359
19  21  car  900, 129, 939, 156
19  23  car  899, 248, 943, 308
19  29  car  943, 216, 955, 250
20  2  person  4, 165, 14, 198
20  3  person  114, 174, 128, 212
20  4  car  -14, 256, 56, 311
20  5  car  667, 210, 744, 258
20  6  car  606, 139, 655, 168
20  7  car  482, 112, 516, 135
20  8  car  268, 129, 311, 157
20  9  car  421, 178, 469, 219
20  10  car  873, 165, 927, 199
20  11  car  223, 123, 255, 149
20  12  car  573, 107, 612, 131
20  13  car  442, 150, 484, 183
20  14  car  537, 112, 570, 135
20  16  car  385, 73, 408, 91
20  17  car  399, 88, 421, 106
20  19  bus  18, 331, 294, 539
20  20  truck  392, 224, 477, 361
20  21  car  900, 129, 940, 156
20  23  car  896, 246, 942, 305
20  29  car  941, 214, 955, 250
21  2  person  4, 165, 14, 198
21  3  person  114, 174, 128, 212
21  4  car  -13, 259, 50, 310
21  5  car  665, 208, 740, 255
21  6  car  604, 138, 653, 167
21  7  car  482, 112, 515, 135
21  8  car  266, 129, 310, 158
21  9  car  422, 179, 470, 220
21  10  car  872, 165, 925, 199
21  11  car  223, 123, 255, 150
21  12  car  572, 106, 610, 130
21  13  car  442, 150, 484, 184
21  14  car  537, 112, 569, 134
21  16  car  384, 73, 407, 92
21  17  car  398, 88, 420, 107
21  19  bus  17, 333, 293, 539
21  20  truck  390, 225, 476, 364
21  21  car  901, 129, 940, 156
21  23  car  893, 243, 942, 301
21  29  car  939, 212, 955, 250
21  32  car  416, 59, 433, 71
22  1  person  830, 137, 844, 164
22  2  person  4, 165, 15, 198
22  3  person  114, 173, 128, 212
22  4  car  -11, 263, 44, 309
22  5  car  662, 206, 736, 252
22  6  car  602, 137, 650, 165
22  7  car  482, 111, 515, 134
22  8  car  265, 131, 308, 159
22  9  car  421, 180, 470, 221
22  10  car  871, 164, 924, 198
22  11  car  222, 123, 255, 150
22  12  car  571, 106, 609, 130
22  13  car  442, 151, 485, 185
22  14  car  536, 111, 567, 134
22  16  car  383, 73, 407, 92
22  17  car  397, 89, 419, 107
22  19  bus  17, 337, 292, 539
22  20  truck  388, 227, 475, 367
22  21  car  900, 129, 940, 156
22  23  car  889, 241, 942, 299
22  29  car  937, 211, 954, 250
22  32  car  416, 60, 433, 71
23  1  person  828, 136, 844, 164
23  2  person  5, 165, 15, 198
23  3  person  115, 174, 128, 211
23  4  car  -11, 266, 38, 309
23  5  car  659, 204, 733, 249
23  6  car  600, 135, 648, 164
23  7  car  481, 111, 514, 133
23  8  car  263, 131, 306, 160
23  9  car  422, 181, 471, 222
23  10  car  869, 163, 923, 197
23  11  car  222, 123, 255, 151
23  12  car  570, 105, 607, 129
23  13  car  443, 151, 485, 185
23  14  car  535, 110, 566, 132
23  16  car  383, 74, 407, 92
23  17  car  397, 89, 419, 107
23  19  bus  19, 341, 291, 539
23  20  truck  390, 227, 477, 369
23  21  car  900, 128, 940, 156
23  23  car  886, 239, 941, 295
23  29  car  935, 210, 954, 251
23  32  car  415, 60, 433, 72
23  34  car  945, 134, 959, 161
24  1  person  827, 136, 843, 164
24  2  person  4, 165, 15, 199
24  3  person  115, 174, 129, 211
24  4  car  -12, 270, 31, 310
24  5  car  656, 201, 729, 246
24  6  car  599, 134, 647, 163
24  7  car  481, 110, 513, 132
24  8  car  261, 132, 305, 161
24  9  car  423, 182, 471, 223
24  10  car  868, 162, 922, 196
24  11  car  222, 123, 255, 151
24  12  car  570, 105, 607, 128
24  13  car  443, 152, 486, 186
24  14  car  535, 110, 565, 131
24  16  car  383, 74, 406, 92
24  17  car  396, 89, 418, 108
24  19  bus  18, 345, 288, 539
24  20  truck  389, 228, 477, 371
24  21  car  900, 128, 941, 156
24  23  car  881, 237, 939, 292
24  29  car  934, 209, 954, 252
24  32  car  415, 60, 433, 72
24  34  car  945, 134, 959, 161
25  1  person  826, 135, 841, 163
25  2  person  5, 165, 16, 198
25  3  person  115, 174, 129, 211
25  4  car  -12, 273, 27, 312
25  5  car  654, 199, 726, 244
25  6  car  597, 133, 646, 162
25  7  car  480, 109, 513, 132
25  8  car  259, 133, 303, 162
25  9  car  423, 183, 472, 223
25  10  car  868, 161, 921, 196
25  11  car  222, 124, 255, 151
25  12  car  569, 104, 606, 128
25  13  car  445, 153, 487, 187
25  14  car  534, 109, 564, 130
25  16  car  383, 74, 406, 92
25  17  car  396, 89, 418, 108
25  19  bus  18, 348, 287, 539
25  20  truck  387, 230, 476, 372
25  21  car  900, 128, 941, 156
25  23  car  877, 236, 936, 289
25  29  car  932, 208, 954, 251
25  32  car  414, 60, 433, 72
25  34  car  945, 135, 959, 160
26  1  person  826, 135, 841, 162
26  2  person  5, 165, 16, 199
26  3  person  116, 173, 129, 210
26  5  car  651, 197, 722, 240
26  6  car  596, 132, 644, 161
26  7  car  480, 109, 512, 131
26  8  car  257, 134, 301, 162
26  9  car  424, 183, 473, 225
26  10  car  867, 161, 921, 195
26  11  car  222, 124, 255, 151
26  12  car  568, 104, 605, 127
26  13  car  445, 153, 488, 188
26  14  car  534, 109, 563, 129
26  16  car  382, 74, 405, 93
26  17  car  395, 90, 418, 109
26  19  bus  19, 351, 286, 539
26  20  truck  388, 231, 476, 375
26  21  car  900, 128, 941, 156
26  23  car  872, 233, 934, 287
26  29  car  930, 206, 953, 251
26  32  car  414, 60, 432, 73
26  34  car  945, 134, 959, 160
26  35  car  876, 466, 961, 539
27  1  person  825, 134, 840, 161
27  2  person  5, 166, 16, 199
27  3  person  116, 173, 129, 210
27  5  car  649, 194, 719, 238
27  6  car  594, 131, 642, 160
27  7  car  479, 108, 512, 130
27  8  car  255, 135, 300, 164
27  9  car  424, 184, 473, 226
27  10  car  867, 160, 920, 194
27  11  car  222, 124, 254, 151
27  12  car  567, 103, 604, 127
27  13  car  446, 154, 488, 188
27  14  car  533, 108, 562, 128
27  16  car  381, 74, 405, 93
27  17  car  394, 90, 417, 109
27  19  bus  19, 355, 283, 539
27  20  truck  387, 233, 475, 378
27  21  car  900, 128, 941, 156
27  23  car  867, 230, 930, 284
27  29  car  928, 206, 953, 250
27  32  car  413, 60, 432, 73
27  35  car  866, 457, 962, 539
28  1  person  825, 134, 840, 161
28  2  person  5, 166, 16, 200
28  3  person  115, 173, 128, 209
28  5  car  646, 192, 716, 235
28  6  car  593, 131, 640, 159
28  7  car  480, 107, 511, 129
28  8  car  253, 135, 299, 165
28  9  car  424, 185, 474, 226
28  10  car  866, 160, 918, 194
28  11  car  221, 124, 254, 151
28  12  car  567, 102, 603, 126
28  13  car  446, 155, 489, 189
28  14  car  532, 107, 561, 128
28  16  car  380, 75, 404, 93
28  17  car  394, 90, 416, 110
28  19  bus  17, 358, 280, 539
28  20  truck  387, 234, 475, 380
28  21  car  900, 128, 942, 155
28  23  car  862, 228, 926, 281
28  29  car  927, 204, 952, 249
28  32  car  413, 60, 432, 73
28  34  car  945, 133, 959, 160
28  35  car  857, 448, 963, 539
28  37  car  923, 250, 955, 378
29  1  person  823, 133, 839, 161
29  2  person  5, 166, 16, 200
29  3  person  116, 173, 128, 209
29  5  car  645, 190, 713, 233
29  6  car  593, 130, 638, 158
29  7  car  479, 106, 511, 129
29  8  car  252, 136, 297, 166
29  9  car  425, 186, 474, 228
29  10  car  865, 160, 917, 193
29  11  car  221, 124, 254, 152
29  12  car  566, 102, 602, 125
29  13  car  447, 155, 490, 190
29  14  car  530, 106, 560, 127
29  16  car  379, 75, 404, 94
29  17  car  393, 91, 416, 110
29  19  bus  16, 361, 277, 539
29  20  truck  387, 235, 476, 383
29  21  car  901, 128, 942, 155
29  23  car  857, 226, 922, 279
29  29  car  925, 204, 952, 247
