----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
584  6  car  944, 414, 1005, 461
584  7  car  971, 452, 1044, 523
584  8  car  869, 371, 905, 398
584  10  car  926, 371, 966, 398
584  11  car  642, 384, 691, 418
584  12  car  865, 455, 935, 508
584  13  car  790, 400, 838, 438
584  14  bus  997, 328, 1055, 388
584  15  bus  517, 415, 613, 526
584  18  car  464, 757, 660, 953
584  20  bus  578, 318, 638, 369
584  23  bus  704, 373, 766, 453
584  28  car  877, 789, 1029, 936
584  30  car  871, 736, 1007, 818
584  32  car  1144, 790, 1349, 968
585  3  car  889, 589, 1009, 693
585  4  car  1236, 569, 1371, 667
585  5  car  882, 398, 928, 432
585  6  car  945, 413, 1005, 460
585  7  car  971, 450, 1044, 522
585  8  car  868, 370, 905, 397
585  10  car  927, 371, 966, 397
585  11  car  641, 385, 690, 419
585  12  car  864, 453, 934, 507
585  13  car  790, 400, 840, 440
585  14  bus  998, 329, 1055, 387
585  15  bus  514, 416, 611, 528
585  18  car  453, 771, 655, 975
585  19  car  806, 367, 849, 397
585  20  bus  577, 318, 638, 369
585  23  bus  703, 374, 765, 455
585  28  car  878, 782, 1025, 924
585  30  car  871, 730, 1006, 812
585  32  car  1141, 784, 1341, 956
586  3  car  889, 589, 1006, 689
586  4  car  1232, 565, 1366, 663
586  5  car  882, 397, 928, 431
586  6  car  945, 413, 1005, 459
586  7  car  971, 450, 1044, 521
586  8  car  868, 369, 905, 397
586  10  car  927, 371, 966, 397
586  11  car  640, 386, 688, 420
586  12  car  865, 452, 934, 506
586  13  car  790, 401, 840, 441
586  14  bus  998, 329, 1055, 387
586  15  bus  513, 417, 611, 530
586  18  car  442, 786, 652, 1000
586  19  car  806, 368, 848, 398
586  20  bus  578, 319, 638, 368
586  23  bus  702, 374, 766, 456
586  28  car  876, 775, 1024, 918
586  30  car  873, 725, 1003, 804
586  32  car  1138, 777, 1335, 947
587  3  car  890, 588, 1004, 686
587  4  car  1229, 561, 1359, 656
587  5  car  882, 397, 928, 431
587  6  car  945, 412, 1005, 458
587  7  car  972, 449, 1044, 519
587  8  car  867, 368, 905, 396
587  10  car  927, 370, 966, 397
587  11  car  639, 387, 687, 421
587  13  car  789, 402, 840, 443
587  14  bus  998, 329, 1055, 387
587  15  bus  511, 418, 610, 532
587  18  car  429, 801, 647, 1025
587  19  car  806, 368, 849, 399
587  20  bus  578, 319, 638, 368
587  23  bus  702, 374, 766, 457
587  25  car  864, 466, 936, 505
587  28  car  876, 768, 1023, 911
587  30  car  871, 720, 1004, 801
587  32  car  1134, 770, 1331, 940
588  3  car  889, 586, 1003, 683
588  4  car  1227, 557, 1354, 650
588  5  car  883, 396, 928, 430
588  6  car  945, 412, 1004, 457
588  7  car  972, 448, 1044, 519
588  10  car  927, 369, 966, 396
588  11  car  638, 388, 687, 422
588  13  car  789, 402, 841, 444
588  14  bus  998, 326, 1055, 386
588  15  bus  509, 419, 609, 533
588  18  car  416, 817, 644, 1051
588  19  car  806, 368, 849, 399
588  20  bus  578, 318, 639, 368
588  23  bus  701, 374, 766, 458
588  25  car  865, 464, 936, 503
588  28  car  861, 731, 1031, 902
588  32  car  1135, 764, 1324, 928
589  3  car  888, 583, 1000, 679
589  4  car  1223, 553, 1350, 647
589  5  car  883, 395, 929, 429
589  6  car  945, 410, 1004, 456
589  7  car  972, 448, 1045, 518
589  10  car  926, 368, 966, 395
589  11  car  637, 389, 686, 423
589  12  car  867, 449, 933, 501
589  13  car  789, 402, 842, 445
589  14  bus  998, 326, 1055, 385
589  15  bus  508, 419, 607, 534
589  18  car  403, 833, 636, 1075
589  19  car  806, 368, 850, 400
589  20  bus  579, 318, 640, 368
589  23  bus  701, 375, 766, 459
589  28  car  856, 714, 1030, 892
589  32  car  1130, 758, 1322, 924
590  3  car  887, 581, 997, 675
590  4  car  1219, 549, 1346, 643
590  5  car  883, 395, 928, 428
590  6  car  944, 409, 1002, 454
590  7  car  972, 446, 1045, 516
590  10  car  925, 366, 967, 394
590  11  car  636, 390, 685, 423
590  12  car  868, 448, 933, 500
590  13  car  789, 403, 842, 446
590  14  bus  998, 326, 1055, 384
590  15  bus  506, 421, 606, 536
590  18  car  396, 850, 623, 1084
590  19  car  807, 368, 850, 400
590  23  bus  700, 375, 766, 460
590  28  car  870, 731, 1019, 884
590  30  car  875, 705, 993, 776
590  32  car  1128, 752, 1316, 914
591  3  car  888, 578, 996, 671
591  4  car  1217, 545, 1340, 637
591  5  car  883, 394, 928, 427
591  6  car  944, 408, 1001, 453
591  7  car  972, 445, 1045, 515
591  10  car  925, 365, 967, 394
591  11  car  635, 390, 684, 424
591  12  car  868, 447, 933, 498
591  13  car  789, 403, 842, 447
591  14  bus  998, 326, 1054, 383
591  15  bus  505, 422, 605, 537
591  18  car  392, 867, 608, 1087
591  19  car  806, 368, 850, 400
591  23  bus  700, 376, 766, 461
591  28  car  877, 736, 1014, 878
591  30  car  875, 700, 995, 771
591  32  car  1126, 745, 1311, 905
592  3  car  888, 575, 995, 667
592  4  car  1215, 542, 1333, 631
592  5  car  883, 393, 927, 426
592  6  car  944, 407, 1001, 452
592  7  car  972, 443, 1045, 514
592  10  car  925, 365, 967, 393
592  12  car  868, 445, 932, 497
592  13  car  789, 404, 842, 448
592  14  bus  998, 325, 1053, 383
592  15  bus  502, 423, 604, 539
592  18  car  391, 888, 593, 1087
592  19  car  805, 368, 851, 402
592  23  bus  699, 376, 766, 462
592  28  car  880, 736, 1010, 869
592  32  car  1122, 738, 1306, 896
593  3  car  888, 573, 995, 664
593  4  car  1211, 538, 1329, 626
593  5  car  883, 392, 927, 425
593  6  car  944, 406, 1001, 451
593  7  car  972, 442, 1046, 513
593  10  car  925, 364, 967, 393
593  11  car  632, 391, 683, 425
593  12  car  869, 444, 932, 495
593  13  car  789, 405, 842, 449
593  14  bus  998, 325, 1052, 382
593  15  bus  499, 424, 602, 541
593  18  car  389, 909, 576, 1086
593  19  car  805, 368, 851, 403
593  23  bus  698, 377, 765, 463
593  28  car  882, 735, 1008, 863
593  32  car  1120, 732, 1298, 885
593  34  truck  499, 423, 602, 541
594  3  car  889, 571, 995, 661
594  4  car  1206, 534, 1325, 624
594  5  car  883, 391, 927, 424
594  6  car  944, 405, 1000, 450
594  7  car  971, 442, 1045, 512
594  11  car  630, 390, 683, 426
594  12  car  869, 443, 932, 494
594  13  car  789, 407, 843, 451
594  14  bus  998, 325, 1052, 381
594  15  bus  497, 425, 600, 544
594  18  car  395, 932, 564, 1085
594  23  bus  696, 378, 765, 465
594  28  car  880, 727, 1008, 857
594  32  car  1118, 727, 1292, 877
594  34  truck  496, 425, 600, 544
594  35  car  761, 366, 797, 399
595  3  car  889, 569, 995, 659
595  4  car  1204, 531, 1321, 619
595  5  car  883, 390, 928, 423
595  6  car  944, 405, 999, 449
595  7  car  970, 441, 1044, 511
595  11  car  629, 391, 682, 427
595  12  car  870, 442, 932, 493
595  13  car  788, 408, 843, 453
595  14  bus  998, 324, 1052, 381
595  15  bus  494, 426, 598, 546
595  18  car  398, 955, 550, 1084
595  23  bus  696, 378, 765, 466
595  28  car  880, 720, 1008, 851
595  32  car  1117, 722, 1286, 868
595  34  truck  493, 426, 598, 546
595  35  car  760, 367, 797, 400
596  3  car  889, 567, 995, 657
596  4  car  1202, 528, 1317, 615
596  5  car  883, 390, 928, 423
596  6  car  945, 405, 999, 448
596  7  car  970, 441, 1042, 510
596  11  car  627, 391, 681, 428
596  12  car  870, 441, 932, 492
596  13  car  788, 410, 842, 455
596  14  bus  998, 323, 1053, 381
596  15  bus  491, 427, 596, 548
596  18  car  405, 981, 535, 1082
596  23  bus  695, 379, 764, 467
596  28  car  882, 716, 1008, 845
596  32  car  1113, 718, 1284, 865
597  3  car  889, 564, 995, 654
597  4  car  1199, 525, 1312, 611
597  5  car  883, 389, 928, 422
597  6  car  945, 404, 997, 446
597  7  car  969, 440, 1040, 508
597  11  car  626, 392, 679, 429
597  12  car  870, 441, 932, 490
597  13  car  787, 410, 843, 457
597  14  bus  998, 322, 1052, 380
597  15  bus  489, 428, 594, 549
597  18  car  412, 1009, 516, 1081
597  23  bus  695, 380, 764, 468
597  28  car  869, 686, 1017, 839
597  32  car  1110, 712, 1280, 859
598  3  car  889, 562, 994, 651
598  4  car  1197, 521, 1306, 604
598  5  car  883, 388, 928, 421
598  6  car  945, 404, 997, 446
598  7  car  968, 439, 1038, 506
598  13  car  787, 411, 843, 458
598  14  bus  997, 321, 1052, 380
598  15  bus  487, 429, 593, 551
598  18  car  423, 1038, 498, 1080
598  23  bus  694, 381, 764, 470
598  25  car  871, 455, 931, 489
598  28  car  878, 696, 1010, 831
598  32  car  1107, 707, 1278, 854
598  35  car  759, 367, 797, 401
599  3  car  890, 560, 994, 648
599  4  car  1195, 519, 1301, 599
599  5  car  883, 387, 927, 420
599  6  car  944, 404, 996, 445
599  7  car  968, 438, 1037, 504
599  10  car  926, 364, 964, 389
599  11  car  623, 394, 677, 431
599  13  car  787, 413, 842, 459
599  14  bus  997, 320, 1052, 379
599  15  bus  484, 430, 590, 552
599  19  car  805, 373, 850, 408
599  20  bus  581, 317, 643, 368
599  23  bus  692, 381, 762, 471
599  25  car  871, 453, 931, 488
599  28  car  870, 674, 1015, 825
599  32  car  1107, 702, 1271, 843
600  3  car  890, 558, 994, 646
600  4  car  1191, 516, 1298, 597
600  5  car  883, 387, 928, 420
600  6  car  944, 404, 996, 444
600  7  car  967, 437, 1035, 503
600  10  car  926, 364, 964, 389
600  11  car  621, 395, 677, 432
600  12  car  873, 440, 930, 487
600  13  car  787, 414, 842, 461
600  14  bus  997, 320, 1052, 379
600  15  bus  482, 431, 589, 555
600  19  car  806, 375, 849, 409
600  23  bus  691, 383, 761, 472
600  28  car  867, 664, 1013, 818
600  32  car  1104, 698, 1266, 838
600  35  car  759, 369, 795, 401
601  3  car  890, 556, 993, 643
601  4  car  1189, 512, 1294, 593
601  5  car  883, 386, 927, 419
601  6  car  945, 403, 997, 444
601  7  car  967, 437, 1033, 501
601  8  car  871, 360, 905, 386
601  10  car  926, 362, 965, 388
601  11  car  620, 395, 676, 433
601  12  car  872, 438, 930, 485
601  13  car  787, 416, 843, 462
601  14  bus  997, 319, 1051, 378
601  15  bus  479, 431, 588, 557
601  19  car  805, 375, 850, 409
601  20  bus  582, 316, 643, 368
601  23  bus  690, 384, 760, 473
601  28  car  866, 657, 1014, 815
601  32  car  1102, 693, 1262, 831
601  34  truck  479, 431, 590, 558
602  3  car  889, 554, 993, 640
602  4  car  1187, 509, 1289, 588
602  5  car  883, 385, 926, 418
602  6  car  945, 402, 997, 443
602  8  car  872, 360, 905, 385
602  10  car  927, 362, 964, 387
602  11  car  619, 396, 675, 433
602  12  car  872, 436, 930, 484
602  13  car  787, 416, 843, 463
602  14  bus  998, 318, 1051, 377
602  15  truck  476, 432, 587, 560
602  20  bus  582, 316, 643, 367
602  23  bus  688, 384, 759, 475
602  28  car  876, 671, 1005, 808
602  32  car  1102, 688, 1256, 821
602  34  bus  476, 432, 588, 560
603  3  car  889, 552, 993, 638
603  4  car  1185, 507, 1286, 584
603  5  car  882, 385, 926, 417
603  6  car  945, 401, 997, 442
603  8  car  872, 359, 905, 384
603  10  car  927, 361, 965, 387
603  12  car  872, 435, 930, 483
603  13  car  785, 417, 843, 466
603  14  bus  998, 318, 1051, 376
603  15  bus  474, 433, 586, 563
603  19  car  805, 376, 850, 411
603  20  bus  582, 316, 643, 367
603  23  bus  687, 385, 759, 477
603  28  car  871, 654, 1011, 803
603  32  car  1099, 683, 1252, 814
603  35  car  758, 373, 793, 403
604  3  car  888, 549, 993, 635
604  4  car  1183, 504, 1283, 582
604  5  car  883, 384, 926, 416
604  6  car  945, 400, 997, 440
604  10  car  927, 360, 966, 387
604  11  car  616, 397, 673, 435
604  12  car  872, 433, 930, 481
604  13  car  785, 418, 843, 467
604  14  bus  999, 318, 1050, 376
604  15  bus  471, 434, 584, 565
604  19  car  805, 378, 849, 412
604  20  bus  582, 316, 643, 367
604  23  bus  686, 386, 759, 478
604  28  car  869, 647, 1010, 798
604  32  car  1096, 679, 1252, 812
605  3  car  887, 546, 993, 633
605  4  car  1180, 501, 1280, 578
605  5  car  884, 384, 926, 415
605  6  car  944, 398, 996, 439
605  7  car  967, 429, 1033, 495
605  11  car  615, 398, 671, 435
605  12  car  873, 432, 931, 480
605  13  car  785, 419, 843, 469
605  14  bus  999, 317, 1050, 375
605  15  bus  468, 435, 582, 567
605  19  car  806, 379, 849, 412
605  23  bus  685, 386, 759, 480
605  28  car  870, 641, 1009, 793
605  32  car  1095, 674, 1248, 805
605  35  car  759, 376, 792, 404
606  3  car  887, 544, 992, 630
606  4  car  1178, 498, 1275, 573
606  5  car  884, 383, 926, 414
606  6  car  945, 398, 996, 437
606  11  car  613, 398, 670, 436
606  12  car  873, 431, 930, 479
606  13  car  784, 419, 843, 470
606  14  bus  998, 316, 1050, 375
606  15  bus  465, 436, 580, 569
606  19  car  805, 379, 849, 413
606  23  bus  685, 387, 758, 480
606  28  car  870, 637, 1006, 787
606  32  car  1094, 670, 1241, 795
606  35  car  759, 377, 792, 405
607  3  car  888, 542, 992, 627
607  4  car  1175, 496, 1272, 570
607  5  car  885, 381, 927, 413
607  6  car  944, 396, 996, 436
607  11  car  612, 399, 669, 437
607  12  car  873, 430, 930, 477
607  13  car  783, 420, 843, 472
607  14  bus  999, 316, 1050, 374
607  15  bus  462, 436, 578, 570
607  19  car  805, 380, 849, 414
607  20  bus  584, 315, 644, 367
607  23  bus  683, 388, 756, 482
607  28  car  871, 634, 1005, 782
607  32  car  1093, 665, 1239, 790
607  35  car  756, 375, 793, 406
608  3  car  889, 541, 992, 625
608  4  car  1173, 493, 1269, 567
608  5  car  885, 381, 927, 412
608  6  car  943, 396, 995, 436
608  11  car  610, 400, 669, 439
608  12  car  873, 429, 929, 476
608  13  car  783, 422, 842, 473
608  14  bus  999, 316, 1049, 374
608  15  bus  460, 438, 576, 571
608  19  car  804, 380, 850, 415
608  23  bus  681, 389, 755, 483
608  28  car  872, 631, 1004, 777
608  32  car  1091, 661, 1237, 785
608  35  car  755, 375, 794, 407
609  3  car  890, 539, 991, 622
609  4  car  1171, 491, 1266, 564
609  5  car  885, 380, 927, 411
609  6  car  944, 396, 996, 435
609  7  car  968, 427, 1032, 490
609  11  car  609, 401, 669, 440
609  12  car  874, 428, 929, 474
609  13  car  783, 424, 843, 476
609  14  bus  1000, 316, 1049, 373
609  15  bus  458, 439, 575, 574
609  19  car  804, 380, 850, 416
609  20  bus  585, 316, 644, 366
609  23  bus  681, 390, 755, 485
609  28  car  873, 628, 1006, 777
609  32  car  1088, 656, 1235, 780
609  35  car  755, 376, 794, 407
610  3  car  889, 537, 989, 618
610  4  car  1170, 488, 1261, 558
610  5  car  885, 379, 928, 411
610  6  car  943, 395, 995, 434
610  7  car  968, 425, 1032, 488
610  11  car  608, 401, 668, 441
610  12  car  874, 427, 929, 473
610  13  car  782, 425, 842, 478
610  14  bus  1001, 316, 1049, 372
610  15  bus  454, 440, 572, 576
610  19  car  804, 381, 850, 417
610  23  bus  680, 390, 755, 485
610  28  car  883, 645, 994, 767
610  32  car  1085, 649, 1233, 775
610  35  car  755, 376, 794, 407
610  42  car  1188, 1014, 1588, 1079
610  43  car  871, 906, 1144, 1079
611  3  car  889, 535, 989, 615
611  4  car  1168, 485, 1258, 554
611  5  car  886, 379, 928, 410
611  6  car  942, 394, 995, 434
611  7  car  969, 425, 1033, 487
611  11  car  606, 401, 666, 442
611  12  car  875, 426, 929, 472
611  13  car  781, 426, 842, 481
611  14  bus  1001, 315, 1049, 372
611  15  bus  452, 441, 570, 577
611  19  car  803, 381, 851, 418
611  23  bus  679, 391, 755, 487
611  28  car  877, 628, 998, 761
611  32  car  1085, 646, 1229, 768
611  35  car  754, 376, 794, 408
611  42  car  1137, 998, 1630, 1079
611  43  car  873, 894, 1163, 1079
612  3  car  890, 533, 990, 613
612  4  car  1165, 483, 1256, 553
612  5  car  887, 378, 928, 409
612  6  car  942, 393, 995, 434
612  7  car  969, 423, 1034, 486
612  11  car  605, 402, 665, 443
612  12  car  875, 425, 930, 471
612  13  car  781, 427, 842, 482
612  14  bus  1001, 315, 1049, 371
612  15  bus  449, 442, 569, 580
612  19  car  803, 381, 851, 418
612  23  bus  678, 392, 755, 489
612  28  car  885, 639, 990, 754
612  32  car  1083, 643, 1225, 763
612  35  car  753, 375, 795, 408
612  42  car  1087, 980, 1671, 1079
612  43  car  867, 882, 1174, 1079
613  3  car  890, 531, 989, 611
613  4  car  1163, 480, 1253, 549
613  5  car  887, 377, 928, 408
613  6  car  942, 391, 996, 433
613  7  car  969, 422, 1034, 485
613  11  car  604, 403, 665, 443
613  12  car  875, 424, 929, 469
613  13  car  780, 428, 842, 484
613  14  bus  1001, 314, 1049, 370
613  15  bus  446, 443, 568, 583
613  19  car  803, 381, 852, 419
613  23  bus  677, 392, 755, 491
613  28  car  890, 643, 986, 747
613  32  car  1083, 640, 1219, 754
613  35  car  754, 375, 795, 408
613  42  car  1044, 963, 1706, 1079
613  43  car  855, 870, 1176, 1079
614  3  car  888, 529, 986, 608
614  4  car  1161, 478, 1250, 546
614  5  car  887, 376, 928, 407
614  6  car  942, 391, 996, 432
614  7  car  968, 420, 1033, 484
614  11  car  603, 403, 664, 444
614  12  car  876, 422, 929, 468
614  13  car  780, 429, 842, 485
614  14  bus  1001, 314, 1048, 369
614  15  bus  445, 444, 567, 584
614  19  car  803, 381, 852, 420
614  23  bus  676, 393, 754, 492
614  28  car  892, 642, 986, 742
614  32  car  1082, 636, 1215, 749
614  35  car  753, 375, 795, 408
614  42  car  1007, 947, 1736, 1079
614  43  car  841, 859, 1174, 1079
614  46  car  881, 612, 979, 654
615  3  car  888, 527, 984, 604
615  4  car  1160, 475, 1248, 543
615  5  car  886, 375, 928, 406
615  6  car  943, 390, 996, 431
615  7  car  968, 420, 1033, 482
615  11  car  601, 405, 662, 445
615  12  car  876, 421, 929, 466
615  13  car  779, 430, 842, 486
615  14  bus  1002, 313, 1048, 368
615  15  bus  442, 445, 565, 586
615  19  car  804, 382, 852, 420
615  23  bus  675, 393, 754, 494
615  28  car  890, 636, 985, 735
615  32  car  1080, 632, 1214, 745
615  35  car  753, 375, 796, 408
615  42  bus  975, 931, 1755, 1079
615  43  car  834, 849, 1173, 1079
615  46  car  885, 609, 974, 647
616  3  car  888, 524, 983, 601
616  4  car  1157, 472, 1245, 540
616  5  car  886, 374, 928, 405
616  7  car  967, 417, 1031, 480
616  11  car  600, 405, 661, 445
616  12  car  876, 419, 930, 465
616  13  car  779, 431, 842, 488
616  14  bus  1002, 313, 1048, 367
616  15  bus  439, 446, 563, 587
616  19  car  804, 382, 852, 420
616  20  bus  587, 312, 647, 364
616  23  bus  675, 393, 754, 495
616  28  car  888, 628, 988, 732
616  32  car  1079, 628, 1210, 738
616  35  car  753, 375, 796, 409
616  42  bus  946, 916, 1767, 1079
616  43  car  827, 838, 1173, 1079
616  46  car  886, 605, 974, 643
617  3  car  888, 522, 983, 599
617  4  car  1155, 470, 1242, 537
617  5  car  887, 373, 928, 404
617  7  car  967, 416, 1031, 478
617  11  car  598, 405, 660, 446
617  12  car  876, 418, 930, 463
617  13  car  780, 433, 843, 490
617  14  bus  1002, 313, 1048, 366
617  15  bus  436, 447, 562, 591
617  19  car  804, 383, 852, 421
617  23  bus  674, 393, 754, 495
617  28  car  888, 627, 987, 730
617  32  car  1078, 624, 1208, 733
617  35  car  753, 376, 796, 409
617  42  car  925, 902, 1772, 1079
617  43  car  823, 829, 1172, 1079
617  46  car  885, 602, 976, 641
617  48  truck  1004, 312, 1047, 366
