----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
552  2  car  -6, 882, 236, 1084
552  3  car  896, 703, 1045, 840
552  4  car  1302, 809, 1859, 1013
552  5  car  877, 423, 931, 463
552  6  car  950, 446, 1015, 495
552  7  car  978, 490, 1068, 576
552  8  car  862, 391, 904, 423
552  9  car  863, 351, 899, 377
552  10  car  923, 384, 969, 415
552  11  car  664, 367, 706, 394
552  12  car  860, 514, 934, 561
552  13  car  782, 375, 822, 407
552  14  bus  1004, 341, 1072, 407
552  15  bus  571, 390, 647, 480
552  18  car  637, 526, 732, 611
552  20  bus  571, 320, 632, 371
552  23  bus  724, 363, 770, 423
553  1  person  1191, 397, 1217, 444
553  2  car  -4, 896, 220, 1083
553  3  car  896, 699, 1043, 834
553  4  car  1307, 796, 1822, 993
553  5  car  877, 422, 930, 462
553  6  car  947, 442, 1015, 494
553  7  car  977, 489, 1066, 574
553  8  car  862, 390, 903, 422
553  9  car  864, 350, 899, 376
553  10  car  922, 382, 969, 414
553  11  car  663, 366, 706, 395
553  12  car  862, 514, 933, 559
553  13  car  782, 375, 822, 407
553  14  bus  1003, 341, 1070, 406
553  15  bus  569, 391, 646, 481
553  18  car  634, 530, 731, 617
553  20  bus  571, 320, 632, 372
553  23  bus  722, 363, 770, 424
553  24  car  825, 1021, 1125, 1079
554  1  person  1191, 397, 1217, 444
554  2  car  -2, 910, 203, 1083
554  3  car  896, 695, 1043, 830
554  4  car  1310, 784, 1789, 975
554  5  car  877, 421, 930, 461
554  6  car  944, 439, 1015, 492
554  7  car  977, 488, 1066, 573
554  8  car  862, 389, 903, 421
554  9  car  864, 350, 899, 376
554  10  car  922, 381, 968, 414
554  11  car  662, 367, 706, 396
554  12  car  861, 512, 934, 558
554  13  car  782, 376, 823, 408
554  14  bus  1002, 340, 1068, 406
554  15  bus  568, 392, 646, 483
554  18  truck  630, 535, 729, 623
554  20  bus  571, 320, 632, 372
554  23  bus  720, 361, 770, 425
554  24  car  789, 1006, 1155, 1079
555  1  person  1191, 396, 1217, 444
555  2  car  -1, 926, 186, 1082
555  3  car  895, 691, 1041, 823
555  4  car  1312, 773, 1759, 958
555  5  car  877, 420, 930, 460
555  6  car  943, 438, 1014, 491
555  7  car  977, 487, 1065, 571
555  8  car  862, 388, 903, 420
555  9  car  864, 350, 899, 375
555  10  car  922, 381, 968, 413
555  11  car  661, 367, 706, 397
555  12  car  861, 510, 933, 556
555  13  car  783, 376, 824, 409
555  14  bus  1001, 340, 1067, 405
555  15  bus  568, 392, 648, 484
555  18  truck  627, 539, 728, 629
555  20  bus  571, 320, 632, 372
555  23  bus  719, 360, 770, 426
555  24  car  753, 991, 1185, 1079
555  25  car  860, 490, 926, 522
556  1  person  1191, 396, 1217, 445
556  2  car  1, 942, 169, 1081
556  3  car  893, 686, 1040, 820
556  4  car  1314, 762, 1729, 941
556  5  car  877, 420, 929, 459
556  6  car  942, 437, 1013, 491
556  7  car  977, 487, 1064, 570
556  8  car  863, 388, 903, 419
556  9  car  864, 350, 898, 374
556  10  car  922, 381, 968, 413
556  11  car  660, 368, 705, 398
556  12  car  862, 511, 931, 554
556  13  car  783, 376, 825, 410
556  14  bus  1000, 339, 1066, 405
556  15  bus  565, 393, 646, 486
556  18  car  624, 543, 727, 635
556  20  bus  571, 320, 632, 372
556  23  bus  720, 364, 769, 427
557  1  person  1191, 396, 1217, 445
557  2  car  15, 959, 166, 1081
557  3  car  893, 682, 1036, 812
557  4  car  1315, 751, 1703, 925
557  5  car  877, 419, 929, 458
557  6  car  943, 436, 1013, 489
557  7  car  977, 486, 1062, 569
557  8  car  863, 387, 903, 419
557  9  car  864, 349, 898, 373
557  10  car  923, 381, 967, 413
557  11  car  659, 369, 704, 399
557  12  car  851, 494, 940, 552
557  13  car  783, 376, 825, 411
557  14  bus  999, 339, 1064, 404
557  15  bus  564, 393, 645, 487
557  18  truck  622, 548, 725, 640
557  19  car  806, 354, 846, 380
557  20  bus  571, 320, 632, 372
557  23  bus  719, 363, 770, 428
558  1  person  1191, 397, 1217, 445
558  2  car  22, 977, 155, 1080
558  3  car  892, 678, 1034, 807
558  4  car  1314, 740, 1680, 911
558  5  car  877, 418, 928, 457
558  6  car  943, 435, 1013, 488
558  7  car  977, 485, 1062, 567
558  8  car  863, 387, 903, 418
558  9  car  864, 348, 898, 373
558  10  car  923, 380, 967, 412
558  11  car  659, 370, 704, 399
558  12  car  848, 488, 941, 549
558  13  car  784, 377, 826, 411
558  14  bus  998, 338, 1063, 403
558  15  bus  561, 394, 644, 488
558  18  car  619, 553, 721, 645
558  19  car  806, 355, 846, 381
558  20  bus  571, 320, 632, 372
558  23  bus  720, 365, 770, 429
558  27  car  766, 357, 800, 383
559  1  person  1191, 397, 1217, 445
559  2  car  9, 997, 117, 1080
559  3  car  892, 674, 1031, 799
559  4  car  1314, 731, 1657, 896
559  5  car  877, 417, 929, 457
559  6  car  944, 435, 1012, 488
559  7  car  978, 484, 1062, 565
559  8  car  864, 386, 903, 417
559  10  car  923, 380, 967, 411
559  11  car  658, 370, 703, 400
559  12  car  848, 485, 940, 548
559  13  car  783, 378, 826, 413
559  14  bus  999, 339, 1062, 403
559  15  bus  559, 394, 643, 490
559  18  car  616, 558, 723, 654
559  20  bus  571, 320, 632, 372
559  23  bus  718, 364, 770, 430
559  27  car  767, 359, 799, 384
559  28  car  854, 938, 1095, 1079
559  29  car  1189, 1030, 1548, 1079
560  1  person  1191, 397, 1218, 445
560  3  car  892, 671, 1029, 793
560  4  car  1314, 722, 1635, 882
560  5  car  877, 416, 929, 456
560  6  car  944, 434, 1012, 487
560  7  car  978, 482, 1061, 564
560  8  car  863, 386, 903, 416
560  9  car  864, 347, 899, 372
560  10  car  923, 379, 966, 411
560  11  car  657, 371, 702, 401
560  12  car  849, 483, 939, 546
560  13  car  784, 379, 827, 414
560  14  bus  999, 339, 1061, 402
560  15  bus  557, 395, 641, 492
560  18  car  611, 562, 719, 661
560  20  bus  571, 320, 633, 372
560  27  car  765, 359, 800, 385
560  28  car  846, 926, 1106, 1079
560  29  car  1147, 1018, 1582, 1079
561  1  person  1191, 397, 1218, 446
561  3  car  891, 667, 1028, 790
561  4  car  1312, 713, 1615, 868
561  5  car  877, 416, 928, 455
561  6  car  944, 435, 1011, 486
561  7  car  977, 481, 1062, 563
561  8  car  864, 386, 902, 416
561  9  car  864, 347, 899, 372
561  10  car  923, 379, 966, 411
561  11  car  657, 372, 702, 402
561  12  car  850, 482, 939, 545
561  13  car  785, 381, 827, 416
561  14  bus  999, 338, 1061, 402
561  15  bus  555, 397, 639, 493
561  18  car  607, 568, 719, 670
561  19  car  806, 357, 845, 383
561  23  bus  715, 363, 768, 431
561  27  car  763, 358, 800, 386
561  28  car  837, 915, 1113, 1079
561  29  car  1106, 1006, 1614, 1079
562  1  person  1191, 397, 1218, 446
562  3  car  891, 664, 1025, 783
562  4  car  1310, 705, 1597, 856
562  5  car  877, 416, 928, 454
562  6  car  944, 435, 1010, 485
562  7  car  977, 480, 1061, 561
562  8  car  864, 386, 902, 415
562  10  car  923, 379, 966, 410
562  11  car  656, 373, 701, 403
562  12  car  851, 481, 938, 543
562  13  car  785, 382, 827, 417
562  14  bus  998, 338, 1062, 402
562  15  bus  554, 398, 638, 494
562  18  truck  603, 573, 717, 677
562  19  car  805, 357, 845, 384
562  27  car  762, 358, 801, 387
562  28  car  828, 904, 1119, 1079
562  29  car  1069, 994, 1642, 1079
563  1  person  1191, 396, 1218, 445
563  3  car  888, 659, 1027, 783
563  4  car  1307, 697, 1580, 844
563  5  car  877, 414, 929, 454
563  6  car  944, 434, 1009, 484
563  7  car  977, 479, 1060, 560
563  8  car  864, 385, 902, 414
563  10  car  923, 379, 966, 410
563  11  car  656, 374, 701, 404
563  12  car  853, 481, 936, 542
563  13  car  786, 383, 828, 418
563  14  bus  997, 337, 1061, 401
563  15  bus  552, 399, 637, 496
563  18  car  600, 579, 716, 684
563  19  car  805, 358, 846, 384
563  23  bus  714, 364, 768, 433
563  27  car  762, 357, 801, 387
563  28  car  822, 893, 1125, 1079
563  29  car  1035, 982, 1669, 1079
564  1  person  1191, 396, 1218, 445
564  3  car  889, 655, 1024, 776
564  4  car  1305, 689, 1564, 833
564  5  car  878, 413, 929, 452
564  6  car  945, 433, 1010, 483
564  7  car  977, 478, 1059, 558
564  8  car  864, 384, 902, 414
564  10  car  924, 378, 966, 409
564  11  car  654, 374, 700, 404
564  12  car  855, 481, 935, 540
564  13  car  786, 384, 828, 419
564  14  bus  997, 337, 1060, 401
564  15  bus  551, 399, 636, 497
564  18  car  597, 585, 716, 693
564  19  car  805, 358, 846, 385
564  23  bus  715, 363, 770, 434
564  27  car  761, 357, 801, 388
564  28  car  815, 882, 1129, 1079
564  29  car  1007, 970, 1688, 1079
565  1  person  1191, 396, 1218, 445
565  3  car  887, 649, 1024, 771
565  4  car  1302, 681, 1550, 822
565  5  car  878, 413, 928, 451
565  6  car  944, 432, 1009, 481
565  7  car  977, 476, 1060, 556
565  8  car  864, 383, 903, 413
565  10  car  924, 378, 966, 408
565  11  car  654, 374, 699, 405
565  12  car  858, 481, 934, 538
565  13  car  787, 385, 828, 419
565  14  bus  997, 336, 1059, 400
565  15  bus  549, 400, 635, 498
565  18  truck  592, 590, 714, 702
565  20  bus  571, 320, 632, 372
565  23  bus  716, 364, 772, 435
